id,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,6.0000,7.5714,0.5667,1.2766,3.0888,47.3817,10.5177,0.9557,0.0389,0.0084,0.0001,0.0007,-0.0001,-0.0002,0.0000,0.0000,0.0000,0.0000,2.0648,-0.0531,0.0078,-0.0067,0.0519,0.0135,0.0157,0.1800,0.0502,0.0549,0.1038,0.2033,0.4792,0.1434,0.5984
AUS,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0114,-0.0498,-0.1612,-0.0097,0.0965,0.0712,0.1021,-0.0312,0.0240,-0.0183,-0.0091,0.1329,0.1259,0.0266,0.2566,0.0448,-0.0453,-0.1038,-0.0120,0.0130,0.0021,0.0607,0.0800,-0.0699,-0.0137,-0.0528,0.0544,0.1814,-0.0263,0.1128,0.1209,-0.0480,-0.1623,-0.1181,-0.0370,0.0141,-0.1001,-0.0024,0.0755,-0.1498,-0.1107,-0.0038,0.0725,0.0710,0.1999,0.0106
AUT,0.0000,0.0681,0.0000,0.1431,0.0650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0390,-0.0749,-0.1529,-0.0453,-0.0682,0.0300,-0.0787,-0.1213,-0.0795,-0.0321,0.2310,0.0711,0.0530,0.1139,0.0340,-0.2621,-0.1719,-0.0233,0.0715,-0.1406,0.0269,-0.0588,0.0585,-0.0181,-0.1173,0.0501,0.1528,0.0143,0.0434,0.1564,0.0296,-0.0492,-0.1661,-0.0910,-0.0015,-0.0087,-0.0834,-0.0656,0.0544,0.0489,-0.0473,0.0819,-0.0323,0.0008,0.1963,0.0026
BEL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0189,-0.1028,-0.1145,-0.0006,-0.0558,0.0497,-0.0716,-0.1214,-0.0690,-0.0026,0.2697,0.2306,0.1191,0.1301,0.0276,-0.2477,-0.1643,-0.0152,0.0717,-0.1519,0.0219,-0.0585,0.0761,-0.0330,-0.1189,0.0503,0.1554,0.0147,0.0431,0.1564,0.0296,-0.0492,-0.1661,-0.0910,-0.0015,-0.0087,-0.0834,-0.0656,0.0544,0.0489,-0.0473,0.0819,-0.0323,0.0008,0.1963,0.0026
BGR,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0769,-0.0935,-0.0092,,,,,,,,,,,0.0619,-0.0874,-0.0745,-0.0460,0.0120,1.6071,7.1224,0.3122,0.1822,0.9618,0.2408,1.6483,8.4547,0.0467,0.0432,0.1562,0.0289,-0.0493,-0.1658,-0.0910,-0.0006,-0.0094,-0.0835,-0.0643,0.0520,0.0503,-0.0480,0.0822,-0.0319,0.0004,0.1969,0.0021
BRA,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0000,4.8667,10.0966,18.5991,16.3651,0.3806,0.0953,0.0725,0.0766,0.5630,0.0085,0.2844,0.2429,0.0538,-0.0495,-0.1678,-0.1064,-0.1049,-0.0582,0.0903,-0.1201,-0.0491,0.1675,0.1039,0.0913,0.4139,0.0489
CAN,0.0000,-0.0331,-0.0703,0.0041,-0.0102,0.0134,-0.0020,-0.0256,0.0123,-0.0118,0.0111,0.0446,0.0550,0.0091,0.0001,-0.0006,-0.0006,0.0013,-0.0011,-0.0006,-0.0296,-0.0336,-0.0197,0.0103,-0.0220,0.0400,-0.0306,0.0785,0.0726,0.0270,-0.0019,0.0254,0.0290,-0.0011,0.0508,0.0544,0.0176,-0.0457,-0.0719,-0.0380,-0.0145,-0.0180,0.0550,0.0673,0.0586,0.0050,-0.0065,0.0155,0.0714,0.0015,-0.0004,0.0429,0.0133,-0.1072,-0.0714,-0.0686,-0.0639,-0.0531,-0.0066,0.0713,-0.0988,-0.0394,0.0098,0.0306,0.0741,0.1564,0.0362
CHE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0547,-0.0761,-0.1713,-0.0586,-0.1336,-0.0316,-0.0385,-0.2561,-0.0701,0.0078,0.1722,0.0336,0.0339,0.1194,0.0457,-0.2679,-0.1711,-0.0187,0.1180,-0.1508,0.0323,-0.0194,0.0508,-0.0744,-0.1354,0.0453,0.1742,-0.0010,0.0361,0.1243,-0.0007,-0.0764,-0.1360,-0.0766,0.0014,0.0070,-0.0427,-0.0977,0.0047,-0.0416,-0.1485,0.0559,-0.0115,-0.0116,0.0505,0.0238
CHL,0.0000,0.1667,0.1071,0.1452,0.2958,0.7609,1.0741,0.5506,0.3532,0.3390,0.1112,0.0010,0.0076,0.5331,0.4223,0.3684,0.2198,0.3160,0.3567,0.2533,0.3087,0.0826,0.7065,2.4385,7.2748,7.2831,1.6585,0.6497,0.4699,0.1766,0.0471,0.0000,0.3053,0.5477,0.2499,0.6335,0.1994,0.1372,0.1167,0.0896,0.1422,0.1453,0.0383,0.1147,0.0396,-0.0557,0.0390,0.0170,0.0978,0.1053,0.0606,0.1767,0.0850,0.0036,-0.1184,-0.0816,-0.0527,-0.0147,0.0000,0.0735,-0.0902,-0.0521,0.0058,0.0181,0.1516,0.1469,0.0348
CHN,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0880,-0.1139,-0.0142,-0.0517,0.0439,-0.0430,-0.0938,-0.0764,-0.0364,0.1376,0.1103,0.0439,0.1743,0.2658,0.1758,0.0780,0.0000,0.0116,0.2704,0.1129,0.0359,0.0449,0.4958,-0.0310,-0.0045,-0.0029,-0.0013,-0.0001,0.0000,-0.0002,0.0000,0.0000,0.0000,-0.0100,-0.0270,-0.0459,-0.0866,-0.0169,-0.0090,-0.0456,-0.0231,-0.0185,-0.0084,0.0137,0.0670
