id,Germany,"Hong Kong SAR, China",United States,United Kingdom,Poland,China,Russian Federation,Italy,Canada,France
1995,,,51285000,41345000,36387000,4520000,21329000,,18206000,18686000
1996,,,52999000,42050000,44713000,5061000,12260000,18173000,18973000,18151000
1997,55800000,,53229000,45957000,48610000,5324000,11182000,19078000,19111000,17115000
1998,69200000,47594000,55696000,50872000,49328000,8426000,10635000,19352000,17648000,18077000
1999,78100000,53144000,57222000,53881000,55097000,9232000,12631000,18962000,18368000,16709000
2000,80507000,58901000,61327000,56837000,56677000,10473000,18371000,21993000,19182000,19886000
2001,81551000,61096000,59442000,58281000,53122000,12133000,18030000,22421000,18359000,19265000
2002,80393000,64540000,58066000,59377000,45043000,16602000,20428000,25126000,17705000,18315000
2003,85345000,60936000,56250000,61424000,38730000,20222000,20572000,26817000,17739000,18576000
2004,84859000,68903000,61809000,64194000,37226000,28853000,24507000,23349000,19595000,21131000
2005,86622000,72300000,63503000,66494000,40841000,31026000,28416000,24796000,21099000,22480000
2006,81801000,75812000,63663000,69536000,44696000,34524000,29107000,25697000,22731000,22240000
2007,82099000,80682000,64049000,69450000,47561000,40954000,34285000,27734000,25163000,28103000
2008,86201000,81911000,63653000,69011000,50243000,45844000,36538000,28284000,27034000,25506000
2009,85547000,81958000,62051000,58614000,39270000,47656000,34276000,29060000,26204000,25140000
2010,85872000,84442000,61061000,55562000,42760000,57386000,39323000,29823000,28680000,25041000
2011,84692000,84816000,59209000,56836000,43270000,70250000,43726000,29295000,30450000,26155000
2012,82729000,85276000,60697000,56538000,48290000,83183000,47813000,28810000,32276000,25317000
2013,87459000,84414000,61874000,57792000,52580000,98185000,54069000,27798000,32971000,26062000
2014,83008000,84519000,68176000,60082000,35400000,107276000,45889000,28460000,33518000,27919000
2015,83737000,89082000,73453000,65720000,44300000,116886000,34550000,29040000,32267000,26648000
2016,,91758000,,,,,,,,
